indicator,ISO Country code,population,population,population,population,population,surface area (Km2),,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,"GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,,,"health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
per person","health expenditure 
per person","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",,"education expenditure
% of GDP","education expenditure
% of GDP","education expenditure
% of GDP",Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,,civil liberties score ,,political stability & absence of violence,,government effectiveness,,regulatory quality,,rule of law,,control of corruption,,judicial effectiveness score,,government integrity score,,overall economic freedom score,,financial freedom score,,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
Brunei,BRN,"430,276","434,274","438,048","441,725","445,373","5,265",,-,-,-,-,-,-,0.85,0.83,0.83,0.83,0.83,72.50,,1.33,-0.20,3.87,-1.61,-1.59,25.9,26.9,27.2,26.8,61831.89,64718.83,65607.35,66619.87,0.05,-1.61,,3.35,-,4.43,-,-,-,-,-,"2,083",763.1,671.6,23.2,10,,3.35,-,-,-,-,0.77,1.68,,9.32,2.00,6.92,7.68,7.65,-,100.00,,6.00,7.00,22.00,21.00,1.19,1.17,1.14,1.45,0.72,0.99,0.65,0.89,0.71,1.25,57.10,51.60,45.40,61.10,64.20,64.80,50.00,50.00,37.50,,15.19,16.36,16.94,17.36,16.13,0.00,,9.10,9.09,9.00,9.10,9.09,346.70,357.70,414.70,436.50,453.30
Bulgaria,BGR,"7,075,947","7,025,037","6,975,761","6,934,015","6,877,743","108,489",,40.20,20.40,40.90,40.60,40.10,43.70,0.81,0.81,0.81,0.80,0.80,59.90,,2.76,3.00,4.04,4.18,7.63,156.0,162.3,155.2,161.7,23016.09,24497.63,24564.44,26705.44,2.68,4.18,,-,-,-,4.08,-,-,-,-,"1,492",689.9,697.9,5.8,320,,-,-,-,-,-,13.30,-,,6.16,8.00,4.23,5.12,5.42,0.30,99.70,,33.00,33.00,47.00,46.00,0.37,0.46,0.26,-0.14,0.63,0.45,-0.04,-0.04,-0.16,-0.24,42.50,61.10,38.20,45.60,68.30,71.00,60.00,60.00,36.30,,6.21,5.83,6.20,5.82,5.61,0.19,,23.80,23.75,26.00,26.70,23.75,720.00,961.30,2158.60,1074.10,1216.60
Burkina Faso,BFA,"19,835,858","20,392,723","20,951,639","21,522,626","22,100,683","273,800",,39.50,17.90,40.20,42.30,41.50,-,0.42,0.45,0.45,0.45,0.45,33.40,,6.20,4.00,5.69,6.91,6.91,41.8,44.2,45.1,48.2,2168.41,2267.32,2273.83,2461.94,6.60,6.91,,4.05,3.67,-,5.63,5.49,5.70,5.52,5.52,96,40.3,42.3,24.3,548,,4.56,5.49,5.52,5.49,5.52,20.66,24.50,,4.56,3.00,4.69,4.89,4.76,8.40,18.96,,23.00,23.00,37.00,30.00,-0.92,-1.64,-0.59,-0.73,-0.44,-0.47,-0.40,-0.44,-0.11,-0.06,47.10,36.30,31.80,41.40,60.00,58.30,40.00,40.00,23.30,,0.20,0.19,0.22,0.23,0.25,0.10,,11.00,11.02,13.00,6.30,6.30,191.10,305.80,357.90,382.50,458.30
Burundi,BDI,"11,155,593","11,493,472","11,874,838","12,220,227","12,551,213","25,680",,42.40,15.60,35.70,37.40,37.70,-,0.42,0.43,0.43,0.43,0.43,28.30,,0.50,-4.10,1.81,1.80,1.80,8.5,8.7,8.7,8.8,779.72,783.16,771.10,793.24,1.61,1.80,,6.78,6.37,4.69,4.76,5.08,5.35,5.04,5.04,64,22.4,20.6,3.4,-,,-,5.08,5.04,5.08,5.04,6.39,10.11,,1.59,1.60,1.59,1.71,1.79,-,11.74,,4.00,4.00,14.00,10.00,-1.97,-1.36,-1.34,-1.33,-0.84,-0.98,-1.40,-1.29,-1.28,-1.58,21.70,7.10,26.20,12.20,50.90,39.40,30.00,30.00,26.70,,0.04,0.04,0.05,0.06,0.06,0.87,,36.40,36.36,36.00,38.20,38.21,63.90,65.40,84.70,67.50,68.40
Cabo Verde,CPV,"564,954","571,202","577,030","582,640","587,925","4,033",,-,-,-,-,-,-,0.65,0.67,0.68,0.66,0.66,-,,3.70,1.80,5.67,6.95,6.95,3.7,3.9,3.4,3.6,7028.17,7474.51,6376.12,7028.05,4.53,6.95,,4.96,5.27,5.29,5.18,5.37,4.73,7.58,7.58,310,190.5,177.9,6.7,58,,4.96,5.37,7.58,5.37,7.58,6.45,-,,12.24,10.50,12.22,15.31,-,-,94.16,,37.00,38.00,53.00,54.00,0.90,-,0.16,-,-0.20,-,0.41,-,0.84,-,52.00,77.40,42.80,60.90,60.00,66.70,60.00,60.00,30.80,,0.91,0.98,1.04,1.07,1.18,0.31,,23.60,23.61,24.00,25.00,38.89,-,-,-,-,-
Cambodia,KHM,"15,830,689","16,025,238","16,207,746","16,396,860","16,589,023","176,515",,37.90,25.60,45.20,48.60,48.00,-,0.58,0.59,0.60,0.60,0.59,38.50,,7.00,6.90,7.05,3.03,3.03,67.6,72.4,70.1,72.2,4258.71,4574.03,4423.47,4683.00,7.47,3.03,,1.91,2.60,2.80,3.20,2.16,-,-,2.16,210,92.9,113.3,39.2,160,,1.90,2.16,-,2.16,-,9.31,10.85,,0.14,0.30,0.15,0.33,15.42,-,86.40,,10.00,5.00,20.00,19.00,0.17,-0.13,-0.66,-0.42,-0.50,-0.64,-1.06,-0.90,-1.29,-1.18,24.50,20.90,17.70,12.30,58.70,57.10,50.00,50.00,21.20,,0.55,0.71,0.80,0.91,0.98,0.48,,20.30,20.00,20.00,20.00,21.60,458.30,543.20,595.40,647.00,643.40
Cameroon,CMR,"24,393,181","25,076,747","25,782,341","26,491,087","27,198,628","472,710",,44.60,16.70,40.20,41.50,39.90,42.20,0.56,0.58,0.58,0.58,0.58,32.10,,3.54,5.90,3.48,3.49,3.65,93.6,96.9,97.3,100.7,3800.53,3900.82,3867.20,4064.47,3.96,3.49,,2.58,2.66,2.56,3.06,3.03,3.08,3.17,3.17,163,53.2,54.0,63.8,529,,-,3.03,3.17,3.03,3.17,-,-,,3.60,4.50,3.64,3.84,0.61,-,64.72,,9.00,6.00,13.00,9.00,-1.08,-1.41,-0.82,-0.88,-0.82,-0.92,-1.02,-1.10,-1.18,-1.09,29.40,10.90,23.40,19.90,51.90,52.90,50.00,50.00,21.60,,0.37,0.38,0.38,0.38,0.36,0.77,,31.10,31.11,31.00,33.90,33.89,408.20,429.90,422.30,393.30,443.30
Canada,CAN,"36,545,236","37,065,084","37,601,230","38,037,204","38,246,108","9,093,507",,32.10,23.90,41.80,40.50,40.20,42.00,0.93,0.93,0.94,0.93,0.94,76.90,,3.04,1.20,1.88,4.56,4.54,"1,814.8","1,848.9","1,752.2","1,832.1",49992.76,49299.21,46572.14,52085.04,2.78,4.56,,-,-,-,-,-,-,-,-,"4,600",5018.7,5048.4,3.9,10,,-,-,-,-,-,0.21,-,,6.34,7.10,5.66,9.46,3.87,-,100.00,,40.00,40.00,59.00,58.00,1.11,0.94,1.85,1.60,1.89,1.62,1.80,1.63,1.92,1.65,77.10,96.40,78.30,86.70,77.70,76.60,80.00,80.00,39.90,,15.65,15.42,15.54,15.65,15.43,0.65,,26.30,26.95,29.00,29.00,30.47,22269.70,22729.30,22394.90,23281.30,26449.20
Central African Republic,CAF,"4,996,741","5,094,780","5,209,324","5,343,020","5,457,154","622,984",,43.60,-,26.90,-,25.20,-,0.37,0.41,0.41,0.41,0.40,16.10,,4.53,4.30,3.10,0.90,0.90,4.4,4.5,4.5,4.6,955.40,985.99,989.22,1020.53,3.79,0.90,,2.22,1.91,1.75,1.75,1.57,1.77,2.17,2.17,32,53.7,37.2,4.4,829,,-,1.57,2.17,1.57,2.17,-,-,,5.65,6.90,5.62,6.36,7.51,-,15.47,,4.00,3.00,5.00,4.00,-1.94,-2.10,-1.77,-1.64,-1.48,-1.49,-1.73,-1.67,-1.17,-1.23,28.20,12.30,24.60,18.30,49.20,45.70,30.00,30.00,13.40,,0.04,0.04,0.04,0.05,0.05,0.86,,8.60,8.57,9.00,8.60,12.86,27.50,30.50,40.80,44.30,43.20
Chad,TCD,"15,085,884","15,604,210","16,126,866","16,644,701","17,179,740","1,259,200",,43.30,12.80,31.80,31.50,30.40,-,0.40,0.40,0.40,0.40,0.39,20.40,,-2.99,1.80,3.25,-1.20,-1.20,24.4,25.2,24.8,24.5,1613.98,1646.29,1591.67,1590.55,2.37,-1.20,,2.60,2.40,2.30,2.45,2.26,2.37,2.91,2.91,100,29.7,29.9,11.6,1140,,-,2.26,2.91,2.26,2.91,25.72,-,,1.12,5.80,1.12,1.74,1.88,8.40,11.08,,4.00,1.00,14.00,14.00,-1.34,-1.34,-1.46,-1.42,-1.21,-1.15,-1.30,-1.33,-1.43,-1.48,24.10,13.60,23.10,13.10,49.30,49.80,40.00,40.00,17.70,,0.17,0.15,0.14,0.14,0.14,-,,12.80,15.25,15.00,15.40,32.26,219.10,253.20,234.70,322.90,331.00
Chile,CHL,"18,368,577","18,701,450","19,039,485","19,300,315","19,493,184","743,812",,50.50,31.70,48.60,48.70,45.60,47.30,0.84,0.86,0.86,0.85,0.86,62.60,,1.36,2.10,0.77,11.67,11.67,468.9,472.5,444.2,496.1,25526.71,25322.71,25089.03,29104.06,3.99,11.67,,4.73,4.88,5.34,5.42,5.43,-,-,5.43,"1,903",1455.1,1375.8,5.5,13,,4.72,5.43,-,5.43,-,1.28,-,,6.96,6.60,7.29,11.18,9.13,0.40,100.00,,37.00,38.00,57.00,56.00,0.38,0.06,0.85,0.63,1.34,0.95,1.01,0.91,1.04,0.98,63.40,91.40,61.20,71.40,75.20,74.40,70.00,70.00,25.00,,4.60,4.78,4.74,4.63,4.82,0.45,,15.80,22.58,23.00,22.60,35.48,5370.00,5545.80,5182.20,5286.20,6230.40
China,CHN,"1,396,215,000","1,402,760,000","1,407,745,000","1,411,100,000","1,412,360,000","9,326,410",,46.50,25.70,41.70,41.80,41.90,45.60,0.75,0.76,0.76,0.76,0.77,50.80,,6.95,6.90,5.95,8.11,8.11,"21,229.4","22,492.6","22,996.4","24,861.3",15495.55,16652.10,17189.28,19338.23,6.75,8.11,,3.73,3.82,3.79,3.67,3.54,3.54,3.57,3.57,762,501.1,535.1,57.9,29,,-,3.54,3.57,3.54,3.57,-,-,,4.44,4.60,4.52,5.00,4.82,0.10,100.00,,0.00,-2.00,14.00,11.00,-0.25,-0.48,0.42,0.84,-0.15,-0.31,-0.26,0.04,-0.27,0.05,65.40,37.40,47.30,39.30,57.80,48.00,20.00,20.00,30.70,,7.15,7.12,7.23,7.49,7.61,0.25,,24.20,24.90,25.00,24.90,24.94,210443.00,232530.60,240332.60,257973.40,293351.90
Colombia,COL,"48,351,671","49,276,961","50,187,406","50,930,662","51,516,562","1,038,700",,51.10,40.70,58.70,57.50,60.20,55.80,0.84,0.76,0.77,0.76,0.75,49.10,,1.36,3.10,3.19,10.56,10.68,710.9,733.5,681.8,753.9,15044.06,15673.09,14868.47,16893.82,2.56,10.56,,4.63,4.47,4.48,4.54,4.45,4.51,4.93,4.93,853,513.2,495.3,47.2,83,,4.67,4.45,4.93,4.45,4.93,2.28,1.21,,8.87,9.90,9.96,15.04,14.34,5.60,100.00,,29.00,29.00,36.00,35.00,-0.79,-0.91,-0.07,-0.01,0.34,0.22,-0.36,-0.45,-0.37,-0.34,36.40,59.10,33.40,42.00,68.90,65.10,70.00,70.00,29.20,,1.70,1.74,1.55,1.59,1.61,0.69,,18.70,18.13,19.00,18.30,18.82,10018.00,10134.70,10167.50,9554.10,10180.10
Comoros,COM,"761,664","776,313","790,986","806,166","821,625","2,235",,55.90,23.10,-,38.10,42.40,-,0.75,0.56,0.56,0.56,0.56,-,,3.82,1.00,1.76,2.35,2.11,2.6,2.6,2.6,2.7,3146.53,3188.08,3147.86,3284.40,3.64,2.35,,2.74,2.55,-,-,-,-,-,-,121,69.4,72.3,12.2,273,,4.86,-,-,-,-,18.15,-,,8.09,20.00,8.08,9.22,9.45,-,86.74,,24.00,16.00,31.00,26.00,0.03,-0.23,-1.57,-1.79,-1.04,-1.25,-1.05,-1.22,-0.68,-1.29,28.20,21.20,27.50,20.10,56.20,50.40,30.00,30.00,27.20,,0.26,0.29,0.37,0.39,0.38,0.04,,6.10,6.06,6.00,16.70,16.67,-,-,-,-,-
Congo (Dem. Rep.),COD,"84,283,273","87,087,355","89,906,890","92,853,164","95,894,118","2,267,048",,42.10,-,44.60,48.80,40.50,-,0.46,0.58,0.57,0.57,0.48,24.80,,3.73,7.70,4.38,5.71,6.20,91.3,95.3,96.9,102.5,1111.84,1144.29,1141.73,1218.77,5.82,5.71,,1.95,2.17,2.12,1.45,-,-,2.45,2.70,34,18.5,20.6,33.0,473,,-,-,2.70,-,2.70,-,-,,4.47,3.60,4.45,5.27,5.43,-,19.10,,2.00,2.00,19.00,15.00,-2.30,-1.61,-1.63,-1.72,-1.47,-1.42,-1.69,-1.70,-1.42,-1.55,23.90,13.20,27.30,11.80,52.10,47.60,20.00,20.00,13.20,,0.04,0.03,0.03,0.04,0.04,0.55,,8.90,8.94,10.00,12.80,12.80,295.20,295.30,352.70,362.10,306.10
Congo (Rep.),COG,"5,312,340","5,441,062","5,570,733","5,702,174","5,835,806","341,500",,48.90,18.80,39.40,-,47.20,-,0.61,0.48,0.48,0.48,0.57,32.70,,-4.38,2.50,-0.09,-3.50,-2.20,20.6,20.6,19.3,18.6,4022.28,3987.16,3689.11,3616.86,-4.81,-3.50,,3.18,3.28,5.24,4.45,3.00,3.58,4.45,4.45,203,49.5,48.6,11.4,378,,-,3.00,4.45,3.00,4.45,15.63,-,,20.56,11.20,20.62,22.84,23.01,-,49.52,,4.00,4.00,13.00,15.00,-0.53,-0.61,-1.19,-1.55,-1.33,-1.35,-1.10,-1.14,-1.33,-1.37,28.20,14.90,24.60,13.40,38.90,48.50,30.00,30.00,47.10,,1.12,1.06,1.02,1.19,1.35,1.00,,11.30,11.26,11.00,11.30,11.26,371.90,292.30,300.00,298.40,313.10
Costa Rica,CRI,"4,993,842","5,040,734","5,084,532","5,123,105","5,153,957","51,060",,48.50,44.70,64.20,63.30,62.10,-,0.79,0.81,0.82,0.82,0.81,58.90,,4.16,3.70,2.42,7.58,7.58,103.4,105.9,101.6,109.3,21319.04,22632.44,22243.80,23387.13,2.62,7.58,,6.68,6.87,6.89,7.07,6.77,6.80,6.71,6.71,"1,286",909.7,921.6,14.0,27,,6.86,6.77,6.71,6.77,6.80,0.12,0.07,,8.14,9.00,11.49,17.41,17.95,0.90,99.90,,38.00,38.00,53.00,53.00,0.51,0.87,0.25,0.26,0.45,0.46,0.45,0.45,0.47,0.50,57.80,78.40,51.80,63.10,65.60,65.40,50.00,50.00,19.30,,1.54,1.63,1.65,1.66,1.63,0.99,,35.10,45.61,46.00,45.60,45.61,0.00,0.00,0.00,0.00,0.00
Cote d'Ivoire,CIV,"24,848,016","25,493,988","26,147,551","26,811,790","27,478,249","318,003",,41.50,14.40,38.00,39.10,39.60,39.40,0.79,0.54,0.55,0.55,0.55,30.50,,7.36,8.60,6.23,7.02,7.04,126.2,134.0,136.7,146.3,5153.73,5432.55,5465.07,5939.76,6.89,7.02,,3.31,3.49,3.97,3.80,3.24,3.72,3.44,3.44,190,72.2,75.1,48.3,617,,4.58,3.24,3.44,3.24,3.44,6.18,3.34,,3.27,9.30,3.32,3.49,3.47,2.40,69.68,,19.00,19.00,32.00,30.00,-1.09,-0.95,-0.74,-0.50,-0.36,-0.26,-0.63,-0.63,-0.52,-0.37,44.20,30.00,36.60,33.80,62.00,61.60,50.00,50.00,22.60,,0.42,0.40,0.42,0.40,0.42,-,,10.60,10.59,11.00,11.40,14.17,501.60,607.80,536.00,607.20,637.70
Croatia,HRV,"4,124,531","4,087,843","4,065,253","4,047,680","3,899,000","55,974",,30.80,30.20,44.20,45.50,46.20,52.00,0.83,0.86,0.86,0.86,0.86,64.50,,3.41,1.60,3.42,10.45,13.07,115.2,119.3,109.6,121.1,28877.24,30543.93,28780.32,33800.55,2.90,10.45,,-,-,-,3.85,3.91,-,-,-,"1,656",1014.2,1040.1,46.7,8,,-,3.91,-,3.91,-,1.62,-,,11.21,13.50,6.62,7.51,8.68,0.20,100.00,,37.00,36.00,49.00,49.00,0.75,0.71,0.58,0.59,0.42,0.50,0.33,0.30,0.19,0.06,56.50,69.90,40.50,50.00,61.00,67.60,60.00,60.00,47.40,,3.95,4.04,4.22,4.02,4.06,0.69,,18.50,18.54,21.00,31.10,31.13,920.80,966.40,1001.80,1013.00,1739.80
Cuba,CUB,"11,336,405","11,328,244","11,316,697","11,300,698","11,256,372","109,820",,-,-,-,-,-,-,0.78,0.78,0.79,0.78,0.76,-,,1.81,4.30,-0.16,-10.95,1.25,0.0,0.0,0.0,0.0,-,-,-,-,2.25,-10.95,,-,-,-,-,-,-,-,-,-,986.9,1031.9,-,36,,-,-,-,-,-,2.16,0.20,,1.70,2.90,1.74,2.62,2.76,-,100.00,,1.00,1.00,13.00,11.00,0.69,0.43,-0.20,-0.22,-1.33,-1.44,-0.43,-0.40,0.27,-0.01,10.00,15.60,38.10,39.90,31.90,29.50,10.00,10.00,62.40,,2.58,2.40,2.31,2.36,2.29,0.04,,48.90,53.22,53.00,53.20,53.41,122.60,128.60,-,-,-
Cyprus,CYP,"1,208,523","1,218,831","1,228,836","1,237,537","1,244,188","9,241",,34.80,30.70,49.50,50.50,49.40,52.70,0.87,0.89,0.90,0.89,0.90,65.90,,5.73,1.60,5.53,5.51,6.64,34.8,36.6,34.8,36.7,40559.13,42338.88,39593.43,42556.11,5.69,5.51,,6.44,6.33,6.15,5.72,-,-,-,-,"2,137",1981.8,1996.5,2.3,6,,-,-,-,-,-,0.58,-,,11.05,11.70,7.07,7.59,6.13,0.20,100.00,,38.00,38.00,56.00,55.00,0.60,0.44,0.92,0.74,1.03,0.86,0.88,0.64,0.78,0.39,56.70,90.90,41.30,62.90,67.80,72.90,60.00,60.00,39.60,,5.77,6.03,6.09,5.91,6.00,0.09,,17.90,17.86,18.00,19.60,14.29,359.10,450.40,463.60,483.40,517.50
Czech Republic,CZE,"10,594,438","10,629,928","10,671,870","10,697,858","10,505,772","77,247",,-,27.30,45.70,46.90,46.80,48.60,0.89,0.89,0.90,0.89,0.89,71.10,,5.17,4.20,3.03,3.34,3.54,424.5,437.3,412.0,425.8,41135.49,42847.00,41608.03,44260.86,3.20,3.34,,3.97,5.75,5.55,3.81,4.27,-,-,4.27,"2,470",1765.6,1844.2,3.1,3,,-,4.27,-,4.27,4.27,0.41,-,,2.89,4.00,2.01,2.55,2.89,-,100.00,,37.00,36.00,56.00,55.00,1.02,0.96,1.02,1.11,1.23,1.35,1.12,1.13,0.57,0.64,57.90,81.80,51.10,59.60,74.20,74.40,80.00,80.00,41.40,,9.40,9.63,9.61,9.49,9.02,0.12,,20.00,22.00,23.00,22.50,25.00,2077.70,2710.00,2910.30,3252.50,3935.60
Denmark,DNK,"5,764,980","5,793,636","5,814,422","5,831,404","5,856,733","42,434",,29.00,32.70,45.40,45.20,45.30,47.70,0.93,0.94,0.95,0.95,0.95,82.00,,2.82,1.20,1.49,4.69,4.86,325.5,332.4,325.5,340.8,57482.96,58700.97,60229.91,64651.22,1.99,4.69,,7.63,-,-,7.75,6.79,-,-,6.79,"5,083",6216.8,6003.3,27.9,4,,-,6.79,-,6.79,6.79,0.60,-,,5.83,6.10,5.02,5.64,4.80,0.20,100.00,,40.00,40.00,57.00,57.00,0.87,0.95,1.80,2.00,1.62,1.81,1.86,1.94,2.19,2.37,83.60,89.60,84.10,99.50,76.60,78.00,80.00,80.00,54.60,,5.93,6.17,5.75,5.72,5.11,0.69,,37.40,37.43,39.00,39.70,39.66,3764.00,4558.70,4556.80,4980.40,5391.20
Djibouti,DJI,"1,040,233","1,057,198","1,073,994","1,090,156","1,105,557","23,180",,40.90,16.40,-,-,-,-,0.48,0.51,0.51,0.51,0.51,-,,5.46,6.50,5.55,4.31,4.81,4.9,5.1,5.2,5.4,5180.60,5482.01,5532.68,5925.80,4.77,4.31,,-,3.59,3.92,3.75,3.63,-,-,3.63,147,71.1,61.8,31.7,248,,-,3.63,-,3.63,3.63,37.89,33.48,,26.06,6.60,26.36,28.39,28.39,-,61.77,,7.00,5.00,19.00,19.00,-0.71,-0.71,-1.03,-0.80,-0.64,-0.87,-0.91,-1.01,-0.64,-0.78,13.80,28.30,29.00,24.50,45.10,55.30,50.00,50.00,49.30,,0.46,0.41,0.40,0.38,0.43,-,,10.80,26.15,26.00,26.20,26.15,-,-,-,-,-
Dominican Republic,DOM,"10,647,244","10,765,531","10,881,882","10,999,664","11,117,873","48,320",,47.10,30.30,53.10,51.40,54.80,49.30,0.74,0.76,0.77,0.76,0.77,48.10,,4.67,7.00,5.05,12.27,12.27,188.2,197.7,184.4,207.1,18134.93,19190.01,17934.19,20769.18,6.98,12.27,,3.96,3.82,3.85,3.92,3.93,4.04,4.62,4.62,873,461.5,491.1,19.5,95,,-,5.57,4.70,3.93,4.62,5.67,4.11,,5.83,14.40,6.36,6.13,8.50,0.40,100.00,,26.00,27.00,41.00,41.00,0.16,0.14,-0.35,0.03,-0.08,0.09,-0.42,-0.10,-0.74,-0.57,23.10,55.90,26.20,30.80,61.60,63.00,40.00,40.00,17.70,,2.27,2.34,2.21,2.35,2.54,0.12,,26.80,26.84,27.00,27.90,27.89,533.10,593.70,613.30,599.10,581.60
Ecuador,ECU,"16,696,944","17,015,672","17,343,740","17,588,595","17,797,737","276,841",,45.90,37.00,57.50,60.20,58.80,55.00,0.75,0.76,0.76,0.73,0.74,48.10,,2.37,1.30,0.01,4.24,4.24,197.5,197.5,182.2,189.9,11837.96,11850.49,10890.46,11661.19,1.29,4.24,,5.26,5.00,4.36,4.61,4.62,4.23,4.13,4.13,980,495.2,486.5,16.6,59,,-,4.62,4.13,4.62,4.13,1.31,1.38,,3.84,5.40,3.81,6.11,6.43,2.10,98.85,,25.00,31.00,35.00,40.00,-0.10,-0.27,-0.32,-0.21,-1.00,-0.70,-0.70,-0.34,-0.60,-0.57,23.30,47.30,30.20,37.20,48.50,54.30,40.00,40.00,39.80,,2.56,2.42,2.31,2.36,2.26,0.54,,38.00,37.96,38.00,39.40,39.42,2462.70,2549.40,2346.00,2356.30,2417.00
Egypt,EGY,"101,789,386","103,740,765","105,618,671","107,465,134","109,262,178","995,450",,31.80,23.80,39.90,40.60,43.20,44.60,0.70,0.73,0.74,0.73,0.73,43.10,,4.18,4.20,5.56,3.33,3.33,"1,118.7","1,180.9","1,223.0","1,263.7",11637.88,12259.72,12605.98,13316.24,5.31,3.33,,4.25,3.93,4.05,-,-,2.61,2.48,2.48,495,125.5,149.8,3.1,37,,-,-,2.48,-,2.48,0.65,-,,11.74,12.00,7.84,9.17,9.33,-,100.00,,10.00,6.00,16.00,12.00,-1.42,-1.02,-0.62,-0.43,-0.86,-0.51,-0.53,-0.24,-0.54,-0.68,52.50,22.10,32.20,28.70,53.40,49.10,50.00,50.00,34.10,,2.32,2.32,2.38,2.39,2.48,0.09,,14.90,14.93,15.00,27.40,27.70,-,-,-,-,-
El Salvador,SLV,"6,266,654","6,276,342","6,280,217","6,292,731","6,314,167","20,721",,36.00,35.60,56.00,55.10,56.30,50.50,0.67,0.68,0.68,0.67,0.68,47.20,,2.25,2.40,2.44,10.80,10.28,55.3,56.6,51.8,57.4,8821.52,9146.51,8419.80,9668.73,2.43,10.80,,3.82,3.91,3.83,3.73,3.61,3.39,-,3.39,578,288.5,300.1,1.6,46,,3.45,3.61,3.39,3.61,3.39,-,-,,4.39,6.30,4.17,6.25,5.94,0.30,100.00,,34.00,26.00,36.00,33.00,-0.25,-0.21,-0.37,-0.31,-0.15,-0.34,-0.86,-0.85,-0.51,-0.53,35.40,46.80,25.20,36.10,63.20,59.60,60.00,60.00,21.30,,1.12,1.15,1.02,1.09,1.21,0.58,,32.10,30.95,31.00,33.30,27.38,-,-,-,-,-
Equatorial Guinea,GNQ,"1,450,694","1,502,091","1,553,031","1,596,049","1,634,466","28,051",,-,-,-,-,-,-,0.59,0.60,0.61,0.60,0.60,-,,-5.67,-12.20,-5.48,-0.95,-0.95,26.7,25.2,24.2,23.9,20873.04,19385.41,18157.51,18127.19,-6.24,-0.95,,-,-,-,-,-,-,-,-,790,310.6,254.9,3.6,301,,-,-,-,-,-,-,-,,8.65,7.30,8.68,9.90,9.24,-,66.75,,1.00,0.00,6.00,5.00,-0.15,-0.29,-1.44,-1.16,-1.40,-1.71,-1.49,-1.20,-1.83,-1.57,17.60,6.90,26.20,6.50,42.00,47.20,30.00,30.00,36.10,,4.88,4.76,4.00,4.28,3.95,0.46,,24.00,20.00,21.00,21.00,23.00,136.20,149.50,148.60,162.40,170.20
Eritrea,ERI,"3,396,933","3,445,374","3,498,818","3,555,868","3,620,312","101,000",,-,-,-,-,-,-,0.44,0.49,0.50,0.49,0.49,-,,-,4.80,-,-,-,0.0,0.0,0.0,0.0,-,-,-,1628.80,-,-,,-,-,-,-,-,-,-,-,56,24.0,25.3,2.7,480,,-,-,-,-,-,47.35,-,,5.94,7.30,5.99,7.86,8.05,-,52.17,,1.00,1.00,2.00,2.00,-0.66,-1.01,-1.73,-1.68,-2.20,-2.27,-1.56,-1.57,-1.20,-1.24,13.80,3.90,23.40,11.10,41.70,39.70,20.00,20.00,28.50,,0.19,0.20,0.21,0.25,0.25,0.01,,22.00,22.00,22.00,-,22.00,-,-,-,-,-
Estonia,EST,"1,317,384","1,321,977","1,326,898","1,329,522","1,330,932","42,388",,34.80,17.90,35.70,35.30,34.40,38.90,0.87,0.89,0.90,0.89,0.89,70.80,,5.79,1.10,3.74,8.35,8.01,46.4,48.3,46.9,50.8,36249.36,37851.30,37645.22,42191.51,4.13,8.35,,4.39,5.14,5.16,4.96,5.26,-,-,5.26,"1,887",1552.6,1598.8,35.4,9,,-,5.26,-,5.26,-,2.16,-,,5.76,6.90,4.45,6.80,6.33,0.30,100.00,,38.00,38.00,56.00,56.00,0.66,0.76,1.12,1.38,1.64,1.56,1.28,1.43,1.24,1.54,83.90,92.30,75.70,83.90,78.80,80.00,80.00,70.00,39.80,,11.81,12.15,12.68,11.59,7.67,0.17,,26.70,26.73,30.00,28.70,25.74,537.40,614.90,637.00,718.10,764.00
